Student ID,student_name,gender,ethincity,date_of_birth,age,by_lunch,primary_language
37,Jesse Newton,M,African_American,5/17/02,17,No,Spanish
38,Kimberly Mercado,F,African_American,12/1/01,17,No,Chinese
39,Gregory Roberts,M,Other,8/16/03,15,No,Chinese
40,Matthew Mayer,M,Hispanic,12/16/03,15,Yes,English
41,Jennifer Parks,F,African_American,3/17/01,18,No,Arabic
42,John Carlson,M,White,4/2/01,18,No,Chinese
43,Megan Roberts,F,Other,3/1/02,17,No,Chinese
44,Debra Flores,F,Hispanic,8/13/03,15,No,Arabic
45,Heidi Jackson,F,White,10/1/01,17,Yes,English
46,Denise Bradford,F,White,5/19/03,16,No,Arabic
47,Ellen Brown,F,African_American,2/20/03,16,Yes,English
48,Amy Perkins,F,White,6/22/01,18,Yes,Spanish
49,Natalie Mitchell,F,Asian,7/23/03,16,No,English
50,Tiffany Gutierrez,F,Hispanic,6/23/02,17,Yes,Spanish
51,Jennifer Hess,F,White,6/25/03,16,No,English
52,Christine Fletcher,F,Other,9/21/01,17,No,Arabic
53,Jon Smith,M,African_American,12/23/02,16,Yes,English
54,Tracey Yates,F,Hispanic,11/23/01,17,No,Spanish
55,Jerry Gordon,M,Asian,7/3/03,16,Yes,Arabic
56,Michael Cox,M,Other,6/30/01,18,No,Arabic
57,Madeline Snyder MD,F,Hispanic,2/11/02,17,No,English
58,Allison King,F,Asian,10/9/01,17,Yes,English
59,Theresa Meyer,F,Native_American,12/19/01,17,Yes,Chinese
60,Jared Wood,M,Other,11/28/02,16,Yes,Chinese
61,Eric Maynard,M,Asian,12/23/02,16,Yes,Arabic
62,Mark Owens,M,Asian,11/15/02,16,No,Chinese
63,Ronnie Conley,M,Hispanic,6/25/02,17,No,Spanish
64,Kimberly Davis,F,Native_American,11/23/01,17,No,Chinese
65,Amy Mitchell,F,Other,1/27/02,17,No,Chinese
66,Mr. Dylan Taylor MD,M,Asian,3/25/01,18,No,Chinese
67,Elizabeth Henderson,F,Other,7/8/02,17,Yes,Arabic
68,James Lopez,M,Hispanic,8/28/02,16,Yes,Arabic
69,Michael Morgan,M,Other,2/11/03,16,No,English
70,Angela Francis,F,White,3/3/01,18,No,English
71,Breanna Taylor,F,Hispanic,1/29/03,16,Yes,Arabic
72,Jason Johnson,M,African_American,10/31/02,16,No,Chinese
73,Kyle Martin,M,Hispanic,5/31/01,18,Yes,Chinese
74,Dr. Scott Gill,M,Asian,7/15/03,16,Yes,Spanish
75,Lisa Long,F,Native_American,6/30/03,16,Yes,English
76,Erin Liu,F,Hispanic,11/6/01,17,Yes,Chinese
77,Marcus Richards,M,Hispanic,11/3/01,17,Yes,Spanish
78,Jason Thompson,M,African_American,12/26/02,16,No,Spanish
79,Elizabeth Mckinney,F,White,5/2/01,18,No,English
80,Jessica Bailey,F,Other,11/24/03,15,Yes,Arabic
81,Lisa Frye,F,White,3/10/03,16,No,Spanish
82,Lindsey Baker,F,African_American,6/18/01,18,No,English
83,Lisa Ramirez,F,Hispanic,10/30/03,15,No,Chinese
84,Joseph Butler,M,Native_American,11/22/03,15,No,English
85,Tina Lynch,F,Asian,3/24/01,18,Yes,English
86,Leah Benitez,F,Other,12/10/03,15,Yes,Chinese
87,Elizabeth Parker,F,White,3/27/02,17,Yes,Arabic
88,Melissa Hunter,F,Other,10/26/02,16,Yes,Chinese
89,Miss Madison Everett,F,Native_American,2/9/03,16,Yes,Arabic
90,Ronald Garcia,M,Hispanic,1/3/01,18,Yes,Arabic
91,Mark Cherry,M,African_American,1/4/03,16,Yes,Chinese
92,Ryan Stokes,M,Native_American,9/14/03,15,No,English
93,Isaiah Maldonado,M,Hispanic,11/2/01,17,Yes,Arabic
94,Micheal Dennis,M,White,3/31/03,16,Yes,Spanish
95,Kevin Martinez,M,African_American,4/17/03,16,No,Arabic
96,Jessica Smith,F,Hispanic,5/28/02,17,Yes,Spanish
97,Dawn Trujillo,F,Other,6/23/02,17,Yes,Chinese
98,Virginia Ramirez MD,F,Other,1/13/01,18,No,Spanish
99,Marc Hernandez,M,White,4/13/02,17,Yes,English
100,Jose Gonzalez,M,Native_American,12/11/02,16,No,Chinese
101,Jason Dennis,M,Other,7/18/03,16,Yes,English
102,Gary Morris,M,White,12/5/02,16,Yes,Arabic
103,William Mcdonald,M,African_American,5/13/03,16,Yes,Spanish
104,Michael Savage,M,African_American,11/2/01,17,Yes,Arabic
105,Alexis Todd,F,Native_American,11/29/01,17,No,Arabic
106,David Hansen,M,Other,6/17/01,18,Yes,Arabic
107,Steven Mendez,M,African_American,5/27/01,18,No,English
108,Ryan Lynch,M,Hispanic,2/17/03,16,No,English
109,Timothy Marks,M,White,8/4/01,18,No,Arabic
110,Alexander Johns,M,White,8/27/03,15,Yes,Arabic
111,Kenneth Chavez,M,Asian,3/24/03,16,No,Chinese
112,Dennis Williams,M,Other,12/27/01,17,No,Arabic
113,Michael Roy,M,Hispanic,12/31/01,17,No,English
114,Richard Ryan,M,Native_American,3/1/02,17,Yes,Arabic
115,Matthew Reyes,M,African_American,2/19/03,16,No,Arabic
116,Stephanie Ward,F,African_American,11/28/01,17,Yes,Spanish
117,Christopher Tucker,M,Hispanic,8/21/01,17,No,Spanish
118,Daniel Jones,M,White,6/17/02,17,No,Spanish
119,Devin Craig,M,White,11/18/02,16,Yes,English
120,Erin Prince,F,Asian,5/31/01,18,No,Chinese
121,Bernard Ortiz,M,Hispanic,4/14/03,16,Yes,Arabic
122,Nicole Miller,F,Hispanic,6/9/03,16,No,English
123,Christopher Fritz,M,Native_American,8/17/01,17,No,Spanish
124,Bonnie Mckinney,F,Asian,9/7/02,16,Yes,Chinese
125,Troy Nelson,M,Asian,5/14/02,17,No,Arabic
126,Jennifer Lee,F,White,5/14/01,18,No,Arabic
127,Ronald Ward,M,Native_American,1/16/01,18,Yes,Chinese
128,Nathaniel Hampton,M,Asian,1/15/01,18,Yes,Arabic
129,Michael Travis,M,Other,1/5/03,16,Yes,English
130,James Taylor,M,White,2/27/03,16,Yes,English
131,Thomas Strickland,M,Other,6/11/03,16,Yes,English
132,Brittany Jackson,F,White,4/10/02,17,No,English
133,Marisa Lowe,F,Hispanic,12/28/03,15,No,Arabic
134,Nicole Thomas,F,Other,8/17/01,17,Yes,English
135,Matthew Rodriguez,M,White,5/3/01,18,Yes,Arabic
136,Kent Fernandez,M,White,8/13/02,16,No,Spanish
137,Michelle Martin,F,Hispanic,10/3/02,16,No,Chinese
138,John Sparks,M,Other,11/1/01,17,No,English
139,Ann Blake,F,Asian,9/9/01,17,Yes,Arabic
140,Melissa Miller,F,White,4/29/01,18,No,Chinese
141,Steven Houston,M,Asian,9/9/03,15,No,Spanish
142,Kristen Anderson,F,African_American,4/8/03,16,No,Arabic
143,Cory Jones,M,African_American,1/26/03,16,Yes,English
144,Jennifer Mora,F,Native_American,11/12/01,17,Yes,English
145,Dennis Griffin,M,Asian,2/13/03,16,Yes,Spanish
146,Darryl Brown,M,Native_American,4/23/01,18,No,Spanish
147,Martin Mosley,M,Hispanic,9/23/02,16,Yes,Chinese
148,Joyce Diaz,F,Asian,2/23/02,17,No,Spanish
149,Jeffrey Rose,M,African_American,11/30/01,17,Yes,Arabic
150,Jamie Moreno,F,Other,4/11/03,16,Yes,Spanish
151,Catherine Williams,F,White,11/7/03,15,Yes,Chinese
152,Lauren Byrd,F,Native_American,2/5/01,18,Yes,English
153,Vanessa Frazier,F,White,4/2/03,16,Yes,Arabic
154,Stephen Bryant,M,African_American,2/9/01,18,Yes,Chinese
155,Lawrence Liu,M,Asian,4/24/02,17,Yes,Chinese
156,Joseph Larsen,M,Hispanic,7/28/02,17,No,Spanish
157,Susan Collier,F,Other,5/17/02,17,Yes,English
158,Meagan Jensen,F,Other,7/4/01,18,No,English
159,Julie Harper,F,African_American,2/12/01,18,No,English
160,Meghan Carroll,F,Other,12/26/03,15,Yes,Spanish
161,Wanda Horton,F,Native_American,3/8/01,18,Yes,English
162,Mary Campbell,F,Native_American,5/24/03,16,Yes,Spanish
163,Jennifer Rodgers,F,White,8/12/03,15,No,Chinese
164,Heather Cooper,F,White,4/1/01,18,No,English
165,Ryan Perez,M,White,12/31/01,17,Yes,English
166,Ryan Cox,M,Other,10/22/03,15,Yes,Arabic
167,Darren Zavala,M,Asian,5/25/01,18,No,English
168,Joseph Morales III,M,Hispanic,5/19/01,18,Yes,English
169,Aaron West,M,Hispanic,6/28/02,17,No,Chinese
170,James Combs,M,Other,3/11/01,18,No,Spanish
171,Curtis Garner,M,White,9/25/03,15,No,Chinese
172,Sarah Miller,F,African_American,4/29/03,16,No,Spanish
173,Samantha Thomas,F,Native_American,3/24/02,17,Yes,Arabic
174,Robert Atkins,M,African_American,3/11/01,18,No,Spanish
175,Alexis Crawford,M,African_American,10/17/02,16,No,Spanish
176,Ryan Maddox,M,Hispanic,5/30/03,16,Yes,Arabic
177,Jonathan Meyer,M,Hispanic,9/28/02,16,No,English
178,Donna Wagner,F,Native_American,2/6/02,17,No,Arabic
179,William Kennedy,M,White,9/29/02,16,Yes,Chinese
180,Kimberly Martinez,F,White,2/17/02,17,Yes,English
181,Matthew Anderson,M,Asian,10/1/03,15,Yes,English
182,Kari Miller,F,Hispanic,6/10/03,16,Yes,Arabic
183,Jenna Luna,F,Asian,12/14/02,16,Yes,Arabic
184,Justin Contreras,M,African_American,9/7/01,17,No,Chinese
185,Mary Fox,F,White,7/30/01,18,Yes,Arabic
186,Joseph Perkins,M,White,1/6/02,17,Yes,Spanish
187,Kelly Phillips,F,Other,7/28/01,18,No,Arabic
188,Justin Thornton,M,White,1/29/02,17,Yes,Spanish
189,Joshua Barber,M,Native_American,11/23/02,16,No,Arabic
190,Travis Jackson,M,Other,7/4/01,18,Yes,Chinese
191,Jordan Beasley,F,Asian,5/18/02,17,No,Chinese
192,Kevin Allen,M,Hispanic,5/26/03,16,No,Arabic
193,Victoria Harris,F,Asian,12/20/02,16,No,Chinese
194,Victoria Joseph,F,Hispanic,1/18/02,17,No,Spanish
195,Brandy Marshall,F,African_American,1/14/02,17,Yes,Arabic
196,Ryan Jimenez,M,Hispanic,9/23/03,15,No,Arabic
197,Michael Chan,M,Other,12/28/01,17,No,Chinese
198,Christopher Phillips,M,Hispanic,6/20/01,18,No,Arabic
199,Kevin Murphy,M,White,12/26/03,15,No,English
200,Vanessa Harper,F,Asian,10/3/03,15,No,English
201,James Ferguson,M,Hispanic,3/3/03,16,Yes,English
202,Carol Schroeder,F,White,8/8/02,16,No,Chinese
203,Jerry Phillips,M,Other,8/23/02,16,Yes,English
204,Kristin Wade,F,Native_American,4/15/03,16,No,English
205,Jessica Warner,F,Native_American,1/1/02,17,No,English
206,Dorothy Burke,F,African_American,10/10/01,17,No,Chinese
207,Bethany Walter,F,Other,2/23/01,18,Yes,Chinese
208,Melissa Avery,F,Native_American,9/2/02,16,Yes,Arabic
209,Daniel Sutton,M,Asian,5/24/03,16,No,Arabic
210,Ryan Johnson,M,Native_American,8/14/02,16,Yes,Arabic
211,Timothy Quinn,M,African_American,11/30/01,17,Yes,Spanish
212,Zachary Allen,M,Native_American,6/25/03,16,Yes,Arabic
213,Lauren Schmitt,F,Other,12/9/01,17,Yes,English
214,Stephanie Armstrong,F,African_American,10/18/01,17,Yes,Chinese
215,Ruben Rivera,M,Other,10/22/02,16,Yes,Arabic
216,Patricia Petty,F,African_American,9/22/03,15,Yes,Arabic
217,Joseph Jacobs,M,Native_American,12/9/02,16,No,English
218,Bianca Wilson,F,Hispanic,1/13/02,17,Yes,Chinese
219,Donald Perez,M,Other,10/24/03,15,No,Arabic
220,Curtis Gomez,M,Other,8/22/02,16,No,Spanish
221,Courtney Brown,F,Asian,12/11/03,15,No,Spanish
222,Nicole Randall,F,African_American,7/7/03,16,Yes,Arabic
223,Steven Lambert,M,Other,4/18/02,17,No,Arabic
224,Anthony Alvarez,M,White,2/8/02,17,No,Chinese
225,Shawn Farrell,M,Other,4/25/01,18,No,Spanish
226,Jesus Schmidt,M,Asian,8/25/01,17,Yes,Arabic
227,Laura Wright,F,Other,4/17/01,18,Yes,Chinese
228,Steven Smith,M,Native_American,8/13/02,16,No,English
229,Norman Thompson,M,Native_American,7/14/03,16,Yes,Spanish
230,Anthony Wright,M,Other,3/15/01,18,No,English
231,Kayla Watts,F,African_American,8/12/01,17,Yes,Chinese
232,Aimee Johnson,F,Native_American,4/3/02,17,Yes,Spanish
233,Heidi Scott,F,African_American,1/14/01,18,No,Arabic
234,Anthony Williams,M,White,9/14/02,16,Yes,Chinese
235,Sarah Hill,F,Asian,12/29/02,16,Yes,English
236,Kim Wang,F,African_American,4/11/01,18,No,Arabic
237,Beth Manning,F,Native_American,10/23/01,17,Yes,Spanish
238,Ryan Hanson,M,Other,10/30/01,17,Yes,Chinese
239,James Wood,M,Native_American,11/15/02,16,Yes,Arabic
240,Corey Greene,M,Other,11/15/01,17,Yes,Chinese
241,John Carter,M,White,6/22/01,18,Yes,Spanish
242,Beth Garza,F,Asian,5/28/03,16,No,Chinese
243,Karen Jones,F,Hispanic,12/30/03,15,No,Arabic
244,Stephanie Poole,F,White,3/25/02,17,Yes,English
245,Lisa Brown,F,White,5/29/03,16,Yes,Arabic
246,Paul Scott,M,African_American,8/5/03,16,Yes,Arabic
247,Evelyn Buck,F,African_American,5/17/01,18,Yes,Spanish
248,Terry Harrell,M,Native_American,10/19/02,16,Yes,English
249,Leah Skinner,F,Asian,10/5/01,17,Yes,Arabic
250,Anthony Mercado,M,African_American,10/29/03,15,Yes,English
251,Walter Kelly,M,Hispanic,8/18/02,16,Yes,Chinese
252,Lori Evans,F,African_American,9/2/01,17,No,Arabic
253,Ashley Jones,F,Hispanic,7/19/02,17,Yes,Arabic
254,Amber Soto,F,Other,2/16/01,18,Yes,Spanish
255,Patrick Phillips,M,African_American,9/1/01,17,Yes,Chinese
256,Linda Curry,F,Other,2/9/02,17,Yes,English
257,Alexander Obrien,M,Other,5/15/01,18,No,Arabic
258,Vincent Garza,M,White,7/4/01,18,No,Spanish
259,Terry Marsh,M,Hispanic,1/4/01,18,No,Spanish
260,Angela Perkins DVM,F,African_American,3/24/02,17,No,Chinese
261,Peter Hampton,M,Asian,12/16/03,15,No,English
262,David Cross,M,Native_American,6/18/03,16,No,English
263,Clinton Ortega,M,Other,10/1/01,17,No,Arabic
264,Jamie Escobar,F,White,8/29/02,16,No,Arabic
265,Sandra Mason,F,Other,3/5/01,18,No,Chinese
266,Craig Cole,M,Native_American,3/24/01,18,No,Chinese
267,Lisa Warren,F,Asian,7/9/02,17,No,Spanish
268,Maria Howard,F,Native_American,10/18/03,15,No,Spanish
269,Michael Porter,M,White,7/4/02,17,No,Chinese
270,John Turner,M,White,8/30/01,17,Yes,Arabic
271,Timothy Wang,M,White,3/28/02,17,Yes,Chinese
272,Amanda Taylor,F,Asian,5/9/02,17,Yes,English
273,Karen Mckenzie,F,African_American,7/2/02,17,No,English
274,Brandon Miles,M,Native_American,6/18/03,16,Yes,Spanish
275,Christina Whitaker,F,Hispanic,1/6/01,18,Yes,Arabic
276,Nicole Peterson,F,Asian,7/14/03,16,No,Spanish
277,Ashley Moore,F,Other,7/24/01,18,No,Arabic
278,Todd Carrillo,M,African_American,1/9/02,17,Yes,Spanish
279,Robert Williams,M,Asian,10/10/03,15,No,Spanish
280,Ashley Jones,F,Native_American,6/12/02,17,Yes,Spanish
281,Vanessa Parker,F,White,11/9/01,17,Yes,Spanish
282,Robert Carlson,M,Asian,5/24/03,16,No,Arabic
283,Jared Lewis,M,Other,9/7/02,16,No,Chinese
284,Christopher Hernandez,M,Asian,1/22/02,17,Yes,Arabic
285,Kimberly Harris,F,African_American,11/7/03,15,Yes,English
286,Katrina Hill,F,White,3/6/03,16,No,Chinese
287,Heather Lee,F,Other,9/18/01,17,Yes,Spanish
288,Donald Harmon,M,Native_American,12/16/02,16,Yes,Chinese
289,Elizabeth Sanders,F,Hispanic,4/16/03,16,No,English
290,Richard Ramsey,M,Asian,3/24/01,18,Yes,English
291,Carmen Johnson,F,Asian,6/6/03,16,Yes,Arabic
292,Elaine Osborne,F,Hispanic,6/17/02,17,Yes,Chinese
293,Kent Burns,M,White,1/23/03,16,No,Spanish
294,Meagan Smith,F,Hispanic,3/17/02,17,No,English
295,Craig Hahn,M,African_American,7/30/01,18,No,Spanish
296,Jeremy Wu,M,Native_American,4/22/01,18,No,Arabic
297,Aaron Rodriguez,M,Native_American,1/31/02,17,Yes,Chinese
298,Matthew Taylor,M,White,1/12/01,18,No,English
299,Diana Evans,F,White,4/9/03,16,No,Arabic
300,Michele Pearson,F,Native_American,1/25/02,17,Yes,Arabic
301,Erik Wagner,M,White,2/24/02,17,No,Chinese
302,Maria Welch,F,African_American,12/26/01,17,No,Arabic
303,Debra Martin,F,Native_American,1/27/02,17,No,English
304,Devon Conner,M,White,12/10/02,16,Yes,Arabic
305,Christine Patel,F,White,3/13/03,16,No,English
306,David Lopez,M,Asian,3/5/02,17,Yes,English
307,Nathan Baird,M,White,4/17/01,18,No,English
308,Samuel Castillo,M,Hispanic,8/29/03,15,Yes,English
309,Rebecca Payne,F,Asian,5/15/02,17,No,Chinese
310,Carl Johnson,M,Asian,4/20/01,18,Yes,English
311,William Adams,M,Native_American,10/20/02,16,No,Arabic
312,Paula Harrison,F,Other,9/29/03,15,No,Spanish
313,Wayne Atkinson,M,African_American,1/20/01,18,Yes,Arabic
314,Lindsay Frank,F,Asian,6/1/03,16,No,English
315,Jose Garcia,M,Other,5/31/03,16,No,Spanish
316,Andrew Gaines,M,Asian,6/29/01,18,No,Spanish
317,Rachael Liu,F,Hispanic,7/12/03,16,No,Arabic
318,Donald Lewis,M,White,12/29/01,17,No,Arabic
319,Shane Edwards,M,Other,10/10/02,16,No,Spanish
320,Todd Levy,M,White,3/17/02,17,No,English
321,Joanna Moore,F,Native_American,10/27/03,15,Yes,Chinese
322,Michael Lewis,M,African_American,8/19/01,17,Yes,Arabic
323,James Robinson,M,Native_American,6/10/01,18,Yes,Chinese
324,Jeffrey Arellano,M,Other,10/19/03,15,Yes,Arabic
325,Heather Allen MD,F,African_American,9/9/01,17,Yes,Arabic
326,Lori Villarreal,F,Native_American,7/21/02,17,No,English
327,Robert Harper,M,Hispanic,8/1/02,17,Yes,Arabic
328,Karen Villegas,F,Other,1/22/02,17,No,Chinese
329,Tracey Crane,F,Hispanic,9/10/01,17,Yes,Spanish
330,Elizabeth Allen,F,Hispanic,9/22/03,15,No,Spanish
331,Jorge Lynn,M,White,11/2/01,17,No,Chinese
332,Harold Gordon,M,African_American,10/17/03,15,No,Chinese
333,Nicholas Mcclain,M,Hispanic,6/19/03,16,No,Spanish
334,Tanya Harris,F,Native_American,1/11/02,17,No,English
335,Amy Smith,F,White,4/24/01,18,Yes,English
336,Kathy Morse,F,Hispanic,12/7/01,17,Yes,English
337,Andrea Wood,F,Asian,9/5/02,16,Yes,Arabic
338,Maureen Massey,F,Other,4/5/01,18,Yes,Chinese
339,Daniel Smith,M,Other,10/12/02,16,No,Chinese
340,Alexandra Smith,F,White,4/19/03,16,No,Chinese
341,Caitlin Hall,F,Other,12/2/03,15,Yes,Spanish
342,Jose Carlson,M,Hispanic,8/11/01,17,No,English
343,Deborah Macias,F,Native_American,3/29/01,18,Yes,Spanish
344,Dwayne Rice,M,Asian,2/16/03,16,No,Spanish
345,Matthew Harris,M,Native_American,12/11/01,17,No,English
346,Eric Bowman,M,Native_American,7/3/02,17,Yes,Arabic
347,Samuel Ali,M,Native_American,3/28/02,17,Yes,Chinese
348,David Miller,M,Asian,1/25/03,16,Yes,Spanish
349,James Moreno,M,Native_American,2/12/01,18,No,Spanish
350,Brooke Austin,F,Other,3/26/02,17,Yes,Spanish
351,Alisha Martin,F,Other,3/1/03,16,No,Chinese
352,Neil Rodriguez,M,White,12/7/02,16,Yes,English
353,Gary Williams,M,Native_American,12/22/02,16,No,Spanish
354,Michael Pittman,M,Asian,7/5/03,16,No,English
355,Stephanie Palmer,F,Hispanic,8/4/01,18,No,Spanish
356,Christine Perry,F,Asian,7/2/01,18,No,Spanish
357,Suzanne David,F,Asian,9/13/01,17,No,Arabic
358,Amber Smith,F,Hispanic,7/14/01,18,Yes,English
359,Ryan Jones,M,African_American,9/13/01,17,No,Arabic
360,Emily Ford,F,Asian,12/15/01,17,Yes,Arabic
361,Kelsey Shea,F,Asian,6/18/01,18,Yes,Chinese
362,Katherine Wallace,F,Asian,10/1/03,15,No,Arabic
363,Erica Conway,F,Other,8/15/02,16,No,Arabic
364,Tyler Parker,M,Other,2/3/03,16,Yes,Spanish
365,Michael Parks,M,Asian,4/12/02,17,Yes,Chinese
366,Elizabeth Hunt,F,African_American,1/29/02,17,No,Spanish
367,Grant Jackson,M,Asian,2/25/02,17,No,English
368,Daniel Matthews,M,White,4/3/01,18,No,English
369,Diana Silva,F,African_American,11/26/03,15,Yes,Spanish
370,Frank Garza,M,Other,12/7/03,15,No,Chinese
371,Terri Fischer,F,White,12/18/02,16,Yes,Spanish
372,Robert Goodwin,M,African_American,11/21/01,17,No,English
373,Bobby Ruiz,M,Asian,8/27/01,17,No,English
374,Stephanie Taylor,F,Other,3/26/01,18,No,Chinese
375,Erin Hill,F,Hispanic,11/29/03,15,Yes,English
376,Erin Cohen,F,Asian,2/11/03,16,No,English
377,Jeffrey Morris,M,White,3/16/03,16,No,Arabic
378,Elizabeth Simpson,F,Other,10/10/03,15,Yes,English
379,Jennifer Davis,F,Other,10/19/03,15,Yes,Arabic
380,Rachel Burton,F,African_American,6/3/02,17,No,Arabic
381,Joseph Wilkins,M,Native_American,4/28/02,17,No,Arabic
382,Lawrence Montgomery,M,Hispanic,3/24/02,17,No,Chinese
383,Patricia Howard,F,Other,1/23/03,16,Yes,English
384,Jessica Hanson,F,White,8/30/03,15,Yes,Arabic
385,Donna Dean,F,Other,3/27/01,18,Yes,Spanish
386,Edwin Reid,M,Asian,2/19/01,18,Yes,Arabic
387,Jodi Brown,F,Asian,11/23/02,16,Yes,Arabic
388,Elizabeth Richard,F,Native_American,9/7/03,15,No,English
389,Aaron Martinez,M,Native_American,7/31/02,17,Yes,Arabic
390,Stephen Fischer,M,Asian,9/1/03,15,No,Arabic
391,Diana Reeves,F,Other,1/30/03,16,Yes,English
392,Jeffrey Eaton,M,White,11/22/01,17,No,Chinese
393,Evelyn Miller,F,White,8/26/03,15,No,Spanish
394,Christopher Kidd,M,Hispanic,2/4/01,18,Yes,Chinese
395,Sarah Adams,F,Hispanic,2/24/02,17,Yes,Arabic
396,Melinda Nelson,F,African_American,9/11/01,17,Yes,Spanish
397,Kevin Brooks,M,Hispanic,1/19/01,18,No,English
398,John Bowen,M,Other,2/3/02,17,No,Arabic
399,Tracie Abbott,F,Hispanic,5/6/01,18,No,Arabic
400,Allen Foster,M,Other,3/6/03,16,Yes,English
401,Kathryn Elliott,F,Native_American,3/6/01,18,Yes,Arabic
402,Christopher Walker,M,African_American,2/15/03,16,Yes,Arabic
403,Cynthia Martin,F,White,9/30/02,16,No,Spanish
404,Amanda Bennett,F,Hispanic,1/5/03,16,Yes,Spanish
405,Dennis Padilla,M,Native_American,3/13/03,16,Yes,Spanish
406,Antonio Miller,M,Hispanic,8/10/01,17,No,Arabic
407,Melissa Trevino,F,Asian,7/8/01,18,No,Chinese
408,Andrew King,M,African_American,8/25/01,17,No,Arabic
409,John Martinez,M,White,2/1/02,17,Yes,English
410,Lauren King,F,Other,2/11/01,18,No,English
411,Stephanie Mercado,F,Hispanic,3/30/01,18,Yes,Chinese
412,William Smith,M,White,5/21/03,16,Yes,Spanish
413,Jonathan Marshall,M,Native_American,6/4/01,18,No,Chinese
414,Luke Lowery MD,M,African_American,4/27/01,18,Yes,Chinese
415,Emily Reynolds,F,White,6/26/02,17,No,Spanish
416,Kevin Mclean,M,White,1/15/03,16,No,Spanish
417,Elizabeth Taylor,F,Hispanic,11/28/02,16,Yes,Spanish
418,Pamela Rivas,F,Asian,2/21/02,17,Yes,Chinese
419,Tammy Martin,F,Other,1/18/01,18,Yes,Chinese
420,Holly Watkins,F,Native_American,10/12/01,17,Yes,Spanish
421,Patrick Chen,M,African_American,8/13/01,17,No,Spanish
422,Michelle Griffin,F,Hispanic,10/11/02,16,No,Chinese
423,Theresa Andrews,F,White,5/13/02,17,No,Arabic
424,Alan Henry,M,Hispanic,4/28/02,17,No,English
425,Dr. Larry Hines,M,Hispanic,7/1/01,18,Yes,Chinese
426,Travis Frazier,M,Hispanic,9/6/02,16,Yes,Arabic
427,Julie Jones,F,Native_American,5/14/03,16,Yes,Chinese
428,Natalie Reynolds,F,White,9/7/01,17,Yes,English
429,Jessica Cohen,F,African_American,12/31/03,15,No,Chinese
430,Jason Robinson,M,Native_American,3/8/03,16,Yes,Spanish
431,Heather Palmer,F,Native_American,3/4/03,16,Yes,Spanish
432,Emily Cardenas MD,F,Other,4/27/01,18,No,Chinese
433,Scott Glover,M,White,4/27/03,16,Yes,Chinese
434,Jacqueline White,F,Native_American,1/11/03,16,No,English
435,Mrs. Elizabeth Espinoza DDS,F,Native_American,4/24/01,18,Yes,English
436,Toni Porter,F,Asian,6/6/03,16,No,Chinese
437,Jennifer Mejia,F,White,5/22/01,18,Yes,Arabic
438,Brenda Peterson,F,Native_American,2/4/03,16,No,Spanish
439,Paul Hamilton,M,Other,1/6/01,18,Yes,Spanish
440,Patricia Nguyen,F,Hispanic,11/22/01,17,No,Chinese
